Jugador;Partidos;MinutosJugados;Canastas;IntentoCanasta;FG%;3P;3PA;3P%;2P;2PA;2P%;TirosLibres;FTA;FT%;RebotesOfensivos;RebotesDefensivos;TotalRebotes;Asistencias;Robos;Bloqueos;PerdidasdeBalon;FaltasPersonales;PTS
Alberto Abalde;33;612;67;135;.496;33;75;.440;34;60;.567;16;18;.889;15;62;77;48;15;0;18;60;183
Andrés Feliz;27;373;48;111;.432;12;42;.286;36;69;.522;15;20;.750;10;36;46;43;13;2;18;53;123
Bruno Fernando;9;129;18;33;.545;0;1;.000;18;32;.563;16;21;.762;10;16;26;5;4;3;13;24;52
Declan Mmasichukwu Duru;1;1;0;1;.000;0;0;;0;1;.000;0;0;;0;0;0;0;0;0;0;0;0
Dennis Smith Jr.;2;21;3;10;.300;0;4;.000;3;6;.500;2;2;1.000;0;3;3;1;0;0;4;1;8
Dzanan Musa;29;648;118;247;.478;40;103;.388;78;144;.542;93;116;.802;16;68;84;63;12;5;51;36;369
Eli Ndiaye;24;350;33;77;.429;15;44;.341;18;33;.545;8;12;.667;18;43;61;12;15;3;6;36;89
Facu Campazzo;33;856;121;271;.446;42;133;.316;79;138;.572;120;138;.870;23;77;100;210;37;2;78;73;404
Gabriel Alejandro Deck;23;548;72;131;.550;17;43;.395;55;88;.625;34;50;.680;21;52;73;31;10;5;25;39;195
Hugo Gonzalez Pena;27;216;16;50;.320;7;24;.292;9;26;.346;11;16;.688;7;30;37;8;2;8;15;35;50
Mario Hezonja;32;860;172;382;.450;62;197;.315;110;185;.595;62;74;.838;15;151;166;52;25;4;47;50;468
Serge Ibaka;24;287;63;112;.563;11;34;.324;52;78;.667;19;26;.731;34;44;78;10;4;13;28;46;156
Sergio Llull;34;563;75;220;.341;48;157;.306;27;63;.429;29;37;.784;13;30;43;73;12;0;25;47;227
Sidi Gueye;3;5;0;0;;0;0;;0;0;;2;2;1.000;0;0;0;0;0;0;1;1;2
Usman Garuba;21;302;37;73;.507;5;28;.179;32;45;.711;8;15;.533;19;50;69;12;14;8;11;55;87
Edy Tavares;34;812;149;198;.753;0;0;;149;198;.753;61;86;.709;94;149;243;39;22;44;70;100;359
Xavier Rathan-Mayes;21;268;42;100;.420;25;68;.368;17;32;.531;12;19;.632;3;18;21;30;11;1;26;30;121
